timestamp,abs_code,value
1770524434.475101,16,261
1770524434.475101,17,246
1770524434.515114,16,1023
1770524434.515114,17,1023
1770524434.51512,16,330
1770524434.51512,17,582
1770524434.534093,16,432
1770524434.534093,17,760
1770524434.534098,16,443
1770524434.534098,17,656
1770524434.576371,16,1023
1770524434.576371,17,1023
1770524434.757563,16,296
1770524434.757563,17,60
1770524434.776135,16,1023
1770524434.776135,17,1023
1770524434.780111,16,48
1770524434.780111,17,388
1770524434.815103,16,896
1770524434.815103,17,444
1770524434.815109,16,1023
1770524434.815109,17,1023
1770524435.055077,16,1
1770524435.055077,17,759
1770524435.055081,16,1023
1770524435.055081,17,1023
1770524437.961078,16,827
1770524437.961078,17,337
1770524437.996277,16,1023
1770524437.996277,17,1023
1770524438.595089,16,65
1770524438.595089,17,438
1770524438.601127,16,1023
1770524438.601127,17,1023
1770524439.976083,16,489
1770524439.976083,17,41
1770524439.982096,16,1023
1770524439.982096,17,1023
1770524440.035106,16,79
1770524440.035106,17,560
1770524440.038176,16,1023
1770524440.038176,17,1023
1770524440.275076,16,128
1770524440.275076,17,226
1770524440.275081,16,152
1770524440.275081,17,344
1770524440.278068,16,1023
1770524440.278068,17,1023
1770524440.297087,16,64
1770524440.297087,17,256
1770524440.297092,16,20
1770524440.297092,17,467
1770524440.297092,18,78
1770524440.297092,19,260
1770524440.297092,20,48
1770524440.297092,21,552
1770524440.340105,16,1023
1770524440.340105,17,1023
1770524440.340105,18,1023
1770524440.340105,19,1023
1770524440.340105,20,1023
1770524440.340105,21,1023
1770524441.655196,16,973
1770524441.655196,17,696
1770524441.658069,16,1023
1770524441.658069,17,1023
1770524441.675082,16,269
1770524441.675082,17,199
1770524441.678068,16,1023
1770524441.678068,17,1023
1770524443.87909,16,312
1770524443.87909,17,622
1770524443.896099,16,1023
1770524443.896099,17,1023
1770524443.899133,16,320
1770524443.899133,17,488
1770524443.937078,16,896
1770524443.937078,17,328
1770524443.940126,16,112
1770524443.940126,17,169
1770524443.958095,16,1023
1770524443.958095,17,1023
1770524444.478095,16,394
1770524444.478095,17,173
1770524444.478095,18,414
1770524444.478095,19,204
1770524444.495122,16,410
1770524444.495122,17,184
1770524444.495122,18,1023
1770524444.495122,19,1023
1770524444.49812,16,1023
1770524444.49812,17,1023
1770524449.654354,16,508
1770524449.654354,17,448
1770524449.65436,16,1023
1770524449.65436,17,1023
1770524449.695152,16,292
1770524449.695152,17,298
1770524449.706136,16,1023
1770524449.706136,17,1023
1770524453.596076,16,212
1770524453.596076,17,443
1770524453.59608,16,1023
1770524453.59608,17,1023
1770524453.914082,16,284
1770524453.914082,17,31
1770524453.918074,16,1023
1770524453.918074,17,1023
1770524454.015088,16,56
1770524454.015088,17,680
1770524454.015093,16,1023
1770524454.015093,17,1023
1770524454.875075,16,473
1770524454.875075,17,760
1770524454.878071,16,1023
1770524454.878071,17,1023
1770524454.915085,16,168
1770524454.915085,17,552
1770524454.915089,16,1023
1770524454.915089,17,1023
