ts,code,val
1770525371.00514,16,784
1770525371.00514,17,650
1770525371.007082,16,1023
1770525371.007082,17,1023
1770525373.466155,16,80
1770525373.466155,17,224
1770525373.470115,16,1023
1770525373.470115,17,1023
1770525377.572541,16,476
1770525377.572541,17,17
1770525377.606621,16,1023
1770525377.606621,17,1023
1770525378.566093,16,455
1770525378.566093,17,5
1770525378.58109,16,1023
1770525378.58109,17,1023
1770525378.650113,16,203
1770525378.650113,17,51
1770525378.685084,16,1023
1770525378.685084,17,1023
1770525378.986104,16,741
1770525378.986104,17,27
1770525378.988113,16,1023
1770525378.988113,17,1023
1770525381.506146,16,803
1770525381.506146,17,129
1770525381.506155,16,813
1770525381.506155,17,157
1770525381.506155,18,893
1770525381.506155,19,214
1770525381.506155,20,752
1770525381.506155,21,312
1770525381.509096,16,1023
1770525381.509096,17,1023
1770525381.509096,18,1023
1770525381.509096,19,1023
1770525381.509096,20,1023
1770525381.509096,21,1023
1770525382.533108,16,833
1770525382.533108,17,76
1770525382.551118,16,1023
1770525382.551118,17,1023
1770525382.886092,16,847
1770525382.886092,17,64
1770525382.886099,16,1023
1770525382.886099,17,1023
1770525383.427101,16,872
1770525383.427101,17,276
1770525383.427108,16,1023
1770525383.427108,17,1023
1770525384.592162,16,390
1770525384.592162,17,224
1770525384.625313,16,1023
1770525384.625313,17,1023
1770525384.704092,16,888
1770525384.704092,17,146
1770525384.70716,16,1023
1770525384.70716,17,1023
1770525385.011083,16,819
1770525385.011083,17,198
1770525385.047083,16,922
1770525385.047083,17,119
1770525385.047088,16,1023
1770525385.047088,17,1023
1770525385.586101,16,939
1770525385.586101,17,345
1770525385.586108,16,1023
1770525385.586108,17,1023
1770525386.126089,16,456
1770525386.126089,17,312
1770525386.126095,16,1023
1770525386.126095,17,1023
1770525386.204595,16,829
1770525386.204595,17,178
1770525386.246191,16,1023
1770525386.246191,17,1023
1770525389.014128,16,830
1770525389.014128,17,166
1770525389.032096,16,1023
1770525389.032096,17,1023
1770525389.246082,16,520
1770525389.246082,17,429
1770525389.264141,16,1023
1770525389.264141,17,1023
1770525389.329179,16,252
1770525389.329179,17,33
1770525389.366477,16,1023
1770525389.366477,17,1023
1770525391.52812,16,904
1770525391.52812,17,96
1770525391.528129,16,1023
1770525391.528129,17,1023
1770525392.486101,16,80
1770525392.486101,17,148
1770525392.491339,16,1023
1770525392.491339,17,1023
1770525392.794095,16,128
1770525392.794095,17,698
1770525392.812118,16,1023
1770525392.812118,17,1023
1770525393.027125,16,133
1770525393.027125,17,706
1770525393.046107,16,1023
1770525393.046107,17,1023
1770525393.333245,16,132
1770525393.333245,17,706
1770525393.351188,16,1023
1770525393.351188,17,1023
1770525393.686119,16,131
1770525393.686119,17,709
1770525393.686125,16,1023
1770525393.686125,17,1023
1770525394.647107,16,643
1770525394.647107,17,451
1770525394.647115,16,1023
1770525394.647115,17,1023
1770525395.37401,16,624
1770525395.37401,17,534
1770525395.391237,16,509
1770525395.391237,17,14
1770525395.431104,16,1023
1770525395.431104,17,1023
1770525396.386101,16,292
1770525396.386101,17,44
1770525396.404087,16,1023
1770525396.404087,17,1023
1770525397.431097,16,398
1770525397.431097,17,12
1770525397.467125,16,1023
1770525397.467125,17,1023
1770525397.550085,16,70
1770525397.550085,17,154
1770525397.552221,16,1023
1770525397.552221,17,1023
1770525397.655089,20,672
1770525397.655089,21,19
1770525397.672078,20,1023
1770525397.672078,21,1023
1770525398.068108,16,440
1770525398.068108,17,655
1770525398.086086,16,165
1770525398.086086,17,28
1770525398.091069,16,1023
1770525398.091069,17,1023
1770525399.506119,16,919
1770525399.506119,17,735
1770525399.508114,16,1023
1770525399.508114,17,1023
1770525400.047117,16,160
1770525400.047117,17,100
1770525400.06509,16,1023
1770525400.06509,17,1023
1770525400.166129,16,785
1770525400.166129,17,64
1770525400.166136,16,1023
1770525400.166136,17,1023
1770525400.672433,16,984
1770525400.672433,17,662
1770525400.707089,16,447
1770525400.707089,17,140
1770525400.707093,16,1023
1770525400.707093,17,1023
1770525401.246116,16,522
1770525401.246116,17,42
1770525401.246123,16,1023
1770525401.246123,17,1023
1770525401.324418,16,679
1770525401.324418,17,514
1770525401.324425,16,1023
1770525401.324425,17,1023
1770525403.591351,16,900
1770525403.591351,17,216
1770525403.608109,16,1023
1770525403.608109,17,1023
