timestamp,p0_x,p0_y,p1_x,p1_y,p2_x,p2_y,p3_x,p3_y
1770524124.6967242,,,,,,,,
1770524127.521086,264,200,,,,,,
1770524127.5312226,264,200,,,,,,
1770524127.5413878,264,200,,,,,,
1770524127.5515335,264,200,,,,,,
1770524127.5616896,,,,,,,,
1770524133.569341,13,459,253,132,,,,
1770524133.5795443,13,459,253,132,,,,
1770524133.589715,13,459,253,132,,,,
1770524133.5998762,13,459,253,132,,,,
1770524133.61006,13,459,253,132,,,,
1770524133.6202374,,,,,,,,
1770524134.575231,324,156,,,,,,
1770524134.5853958,324,156,,,,,,
1770524134.5955865,,,,,,,,
1770524135.6571715,711,185,,,,,,
1770524135.6673057,711,185,,,,,,
1770524135.6774695,,,,,,,,
1770524135.850289,200,1,757,129,,,,
1770524135.8604374,200,1,757,129,,,,
1770524135.8705869,200,1,757,129,,,,
1770524135.8807468,200,1,757,129,,,,
1770524135.8909085,200,1,757,129,,,,
1770524135.9010766,894,79,,,,,,
1770524135.9112105,894,79,,,,,,
1770524135.9213722,,,,,,,,
1770524136.155121,966,374,,,,,,
1770524136.1652956,922,425,932,572,,,,
1770524136.1754606,922,425,932,572,,,,
1770524136.1856577,922,425,932,572,,,,
1770524136.195897,,,,,,,,
1770524136.5717907,3,435,,,,,,
1770524136.5820045,3,435,,,,,,
1770524136.592169,3,435,,,,,,
1770524136.6023052,3,435,,,,,,
1770524136.6124754,,,,,,,,
1770524137.3358107,43,388,,,,,,
1770524137.3459792,103,136,,,,,,
1770524137.3561044,103,136,,,,,,
1770524137.3662412,103,136,,,,,,
1770524137.3764007,103,136,,,,,,
1770524137.3865674,103,136,,,,,,
1770524137.3967319,,,,,,,,
1770524137.5795417,96,752,,,,,,
1770524137.5896904,96,752,,,,,,
1770524137.5998778,784,172,,,,,,
1770524137.6100142,784,172,,,,,,
1770524137.620182,784,172,,,,,,
1770524137.6302974,784,172,,,,,,
1770524137.6404946,,,,,,,,
1770524138.2623093,350,760,339,739,,,,
1770524138.2724578,350,760,339,739,,,,
1770524138.2826138,350,760,339,739,,,,
1770524138.2927797,350,760,339,739,,,,
1770524138.3030043,,,,,,,,
1770524138.953969,92,691,,,,,,
1770524138.964117,664,16,,,,,,
1770524138.9742596,664,16,,,,,,
1770524138.9844792,,,,,,,,
1770524140.1240087,320,16,,,,,,
1770524140.13415,320,16,,,,,,
1770524140.144302,320,16,,,,,,
1770524140.1545217,486,115,,,,,,
1770524140.1646783,,,,,,,,
1770524140.4088182,376,160,,,,,,
1770524140.4190638,,,,,,,,
1770524140.4698353,175,307,,,,,,
1770524140.480015,,,,,,,,
1770524140.7032535,506,42,,,,,,
1770524140.713419,,,,,,,,
1770524140.7235727,484,170,,,,,,
1770524140.7337255,484,170,,,,,,
1770524140.7438645,484,170,,,,,,
1770524140.7550194,,,,,,,,
1770524141.1226008,144,144,,,,,,
1770524141.132747,144,144,,,,,,
1770524141.1429083,548,293,,,,,,
1770524141.1530874,548,293,,,,,,
1770524141.163241,548,293,,,,,,
1770524141.1734447,,,,,,,,
1770524141.3781884,449,294,,,,,,
1770524141.38834,449,294,,,,,,
1770524141.398813,449,294,,,,,,
1770524141.408989,449,294,,,,,,
1770524141.4191768,,,,,,,,
1770524141.7237923,382,411,,,,,,
1770524141.7339323,382,411,,,,,,
1770524141.744105,,,,,,,,
1770524143.6047814,7,125,,,,,,
1770524143.614945,7,125,,,,,,
1770524143.6251097,7,125,,,,,,
1770524143.6353142,,,,,,,,
1770524144.5327578,501,546,,,,,,
1770524144.542944,,,,,,,,
1770524144.5937672,787,517,807,448,,,,
1770524144.6039875,,,,,,,,
1770524146.8999422,131,167,,,,,,
1770524146.9100955,131,167,,,,,,
1770524146.9202573,131,167,,,,,,
1770524146.9304004,131,167,,,,,,
1770524146.9405918,,,,,,,,
1770524146.9507813,255,236,,,,,,
1770524146.9609733,,,,,,,,
1770524147.2963932,184,349,,,,,,
1770524147.306575,375,693,,,,,,
1770524147.3167093,375,693,,,,,,
1770524147.3268447,375,693,,,,,,
1770524147.3370225,375,693,,,,,,
1770524147.3472295,375,693,,,,,,
1770524147.3574126,,,,,,,,
1770524147.621588,726,498,,,,,,
1770524147.6317413,726,498,,,,,,
1770524147.6419027,726,498,,,,,,
1770524147.65207,726,498,,,,,,
1770524147.6622756,,,,,,,,
1770524148.2021787,133,518,,,,,,
1770524148.2123122,133,518,,,,,,
1770524148.222483,102,239,,,,,,
1770524148.2326167,102,239,,,,,,
1770524148.242792,102,239,,,,,,
1770524148.2529619,,,,,,,,
1770524148.2834406,768,141,,,,,,
1770524148.2935839,768,141,,,,,,
1770524148.3037343,768,141,,,,,,
1770524148.3139164,,,,,,,,
1770524149.0940957,124,264,,,,,,
1770524149.1042814,,,,,,,,
1770524149.1161478,37,581,,,,,,
1770524149.1262872,37,581,,,,,,
1770524149.1364303,37,581,,,,,,
1770524149.1465716,37,581,,,,,,
1770524149.1567886,,,,,,,,
1770524150.063413,535,166,,,,,,
1770524150.0735812,,,,,,,,
1770524151.193353,690,172,,,,,,
1770524151.20357,690,172,,,,,,
1770524151.2137449,,,,,,,,
1770524152.341207,528,175,,,,,,
1770524152.3513381,528,175,,,,,,
1770524152.3615205,515,224,,,,,,
1770524152.3716567,515,224,,,,,,
1770524152.381798,515,224,,,,,,
1770524152.3920302,490,312,,,,,,
1770524152.4022238,,,,,,,,
