ts,duration_ms,p0x,p0y,p1x,p1y,p2x,p2y,p3x,p3y
1770524616.474266,1283.0774784088135,,,,,,,,
1770524617.7574265,0,586,164,,,,,,
1770524617.7777495,477.8130054473877,,,,,,,,
1770524618.255663,0,580,52,,,,,,
1770524618.275973,447.7651119232178,,,,,,,,
1770524618.723836,0,80,216,,,,,,
1770524618.733978,0,80,216,,,,,,
1770524618.7441475,0,738,554,,,,,,
1770524618.7543101,0,738,554,,,,,,
1770524618.7644517,0,738,554,,,,,,
1770524618.774607,0,738,554,,,,,,
1770524618.7848318,0,725,531,,,,,,
1770524618.7949798,0,725,531,,,,,,
1770524618.8153136,2370.5430030822754,,,,,,,,
1770524621.185929,0,112,680,,,,,,
1770524621.1960597,0,112,680,,,,,,
1770524621.2163966,701.4975547790527,,,,,,,,
1770524621.9180048,0,532,757,,,,,,
1770524621.9281008,0,532,757,,,,,,
1770524621.9382534,0,532,757,,,,,,
1770524621.9483957,0,532,757,,,,,,
1770524621.9687257,1621.6351985931396,,,,,,,,
1770524623.5904133,0,742,45,,,,,,
1770524623.6005328,0,742,45,,,,,,
1770524623.6213553,387.2852325439453,,,,,,,,
1770524624.0087996,0,594,326,,,,,,
1770524624.0189283,0,594,326,,,,,,
1770524624.0392802,101.6850471496582,,,,,,,,
1770524624.14108,0,317,67,,,,,,
1770524624.1512115,0,317,67,,,,,,
1770524624.1613636,0,317,67,,,,,,
1770524624.171522,0,317,67,,,,,,
1770524624.1918783,1851.7274856567383,,,,,,,,
1770524626.04369,0,514,117,,,,,,
1770524626.0538251,0,514,117,,,,,,
1770524626.0752678,955.7743072509766,,,,,,,,
1770524627.0311255,0,56,288,,,,,,
1770524627.0419235,0,56,288,,,,,,
1770524627.0524065,0,56,288,,,,,,
1770524627.0627007,0,480,504,440,522,,,,
1770524627.0830495,40.68303108215332,,,,,,,,
1770524627.123797,0,680,432,,,,,,
1770524627.1455293,416.7940616607666,,,,,,,,
1770524627.5623412,0,731,594,79,234,,,,
1770524627.57249,0,731,594,79,234,,,,
1770524627.5828145,0,731,594,79,234,,,,
1770524627.5930643,0,731,594,79,234,,,,
1770524627.6166255,308.2852363586426,,,,,,,,
1770524627.9247813,0,877,759,,,,,,
1770524627.9349017,0,877,759,,,,,,
1770524627.9450936,0,877,759,,,,,,
1770524627.9552295,0,877,759,,,,,,
1770524627.965381,0,877,759,,,,,,
1770524627.9857314,417.865514755249,,,,,,,,
1770524628.4037168,0,308,4,,,,,,
1770524628.4138343,0,308,4,,,,,,
1770524628.4239657,0,308,4,,,,,,
1770524628.4341004,0,308,4,,,,,,
1770524628.4544647,1246.5345859527588,,,,,,,,
1770524629.7011101,0,520,8,,,,,,
1770524629.7214446,4122.822046279907,,,,,,,,
1770524633.8443372,0,252,634,,,,,,
1770524633.8647015,1180.6857585906982,,,,,,,,
1770524635.0454872,0,402,20,,,,,,
1770524635.0556364,0,402,20,,,,,,
1770524635.0760036,1708.3740234375,,,,,,,,
1770524636.7844296,0,824,272,,,,,,
1770524636.7945657,0,824,272,,,,,,
1770524636.8149292,2372.316598892212,,,,,,,,
1770524639.187326,0,352,719,,,,,,
1770524639.2096577,40.65871238708496,,,,,,,,
1770524639.2504041,0,984,214,,,,,,
1770524639.270665,356.19640350341797,,,,,,,,
1770524639.626984,0,336,563,,,,,,
1770524639.6371315,0,336,563,,,,,,
1770524639.647468,0,336,563,,,,,,
1770524639.6576495,0,336,563,,,,,,
1770524639.677999,824.9542713165283,,,,,,,,
1770524640.5030165,0,494,367,,,,,,
1770524640.5130892,0,494,367,,,,,,
1770524640.5334353,986.6776466369629,,,,,,,,
1770524641.520201,0,181,73,,,,,,
1770524641.5405526,183.0446720123291,,,,,,,,
1770524641.7236383,0,511,13,,,,,,
1770524641.73377,0,511,13,,,,,,
1770524641.7439325,0,511,13,,,,,,
1770524641.7540977,0,511,13,,,,,,
1770524641.764301,0,,,490,232,,,,
1770524641.784702,456.9559097290039,,,,,,,,
1770524642.2417128,0,199,176,,,,,,
1770524642.2620678,1140.5613422393799,,,,,,,,
1770524643.4027255,0,512,408,,,,,,
1770524643.412857,0,512,408,,,,,,
1770524643.4230247,0,512,408,,,,,,
1770524643.4331946,0,512,408,,,,,,
1770524643.4434688,0,686,2,848,216,,,,
1770524643.4536393,0,686,2,848,216,,,,
1770524643.4740179,327.146053314209,,,,,,,,
1770524643.8013842,0,910,476,,,,,,
1770524643.8115351,0,518,221,,,,,,
1770524643.8217547,0,518,221,,,,,,
1770524643.842107,396.03471755981445,,,,,,,,
1770524644.2381892,0,472,385,,,,,,
1770524644.248323,0,472,385,,,,,,
1770524644.2584844,0,472,385,,,,,,
1770524644.268633,0,472,385,,,,,,
1770524644.2890353,417.6597595214844,,,,,,,,
1770524644.7067618,0,224,280,,,,,,
1770524644.7270803,345.674991607666,,,,,,,,
1770524645.0728512,0,440,643,,,,,,
1770524645.0829809,0,440,643,,,,,,
1770524645.093117,0,440,643,,,,,,
1770524645.103302,0,440,643,,,,,,
1770524645.113478,0,440,643,,,,,,
1770524645.1338773,0,228,470,,,,,,
1770524645.154182,272.48597145080566,,,,,,,,
1770524645.4267442,0,215,459,,,,,,
1770524645.436869,0,215,459,,,,,,
1770524645.4573195,337.0072841644287,,,,,,,,
1770524645.7943134,0,216,456,,,,,,
1770524645.8044977,0,209,464,,,,,,
1770524645.8146315,0,209,464,,,,,,
1770524645.8249004,0,209,464,,,,,,
1770524645.8350666,0,209,464,,,,,,
1770524645.845277,0,440,656,,,,,,
1770524645.865656,407.7897071838379,,,,,,,,
1770524646.273488,0,208,483,,,,,,
1770524646.2938178,265.02132415771484,,,,,,,,
1770524646.5589569,0,188,456,,,,,,
1770524646.579276,711.463451385498,,,,,,,,
1770524647.290934,0,91,747,,,,,,
1770524647.3112936,996.739387512207,,,,,,,,
1770524648.308133,0,93,555,,,,,,
1770524648.3284252,50.7047176361084,,,,,,,,
1770524648.3792148,0,251,702,,,,,,
1770524648.389339,0,251,702,,,,,,
1770524648.39948,0,251,702,,,,,,
1770524648.4111013,0,251,702,,,,,,
1770524648.4212413,0,251,702,,,,,,
1770524648.441579,244.5356845855713,,,,,,,,
1770524648.6861746,0,85,524,,,,,,
1770524648.6963074,0,85,524,,,,,,
1770524648.716823,1946.9351768493652,,,,,,,,
