ts,dur,p0x,p0y,p1x,p1y,p2x,p2y,p3x,p3y
1770525119.5497756,1879.579782485962,,,,,,,,
1770525121.4294298,0,230,486,,,,,,
1770525121.434589,0,230,486,,,,,,
1770525121.4397202,0,230,486,,,,,,
1770525121.4448514,0,230,486,,,,,,
1770525121.4499795,0,230,486,,,,,,
1770525121.455196,0,230,486,,,,,,
1770525121.460315,0,230,486,,,,,,
1770525121.4705787,5118.516683578491,,,,,,,,
1770525126.5891747,0,401,555,,,,,,
1770525126.5942645,0,401,555,,,,,,
1770525126.5993803,0,401,555,,,,,,
1770525126.604497,0,401,555,,,,,,
1770525126.6096032,0,401,555,,,,,,
1770525126.614717,0,401,555,,,,,,
1770525126.6198301,0,401,555,,,,,,
1770525126.6301324,3004.063367843628,,,,,,,,
1770525129.634232,0,521,40,,,,,,
1770525129.6394234,0,521,40,,,,,,
1770525129.6445386,0,521,40,,,,,,
1770525129.6548748,6238.18302154541,,,,,,,,
1770525135.8931432,0,174,688,,,,,,
1770525135.8996444,0,174,688,,,,,,
1770525135.9047928,0,174,688,,,,,,
1770525135.9099238,0,174,688,,,,,,
1770525135.9150913,0,174,688,,,,,,
1770525135.9202247,0,174,688,,,,,,
1770525135.9305453,1044.511079788208,,,,,,,,
1770525136.975179,0,111,377,,,,,,
1770525136.9803135,0,111,377,,,,,,
1770525136.9854407,0,111,377,,,,,,
1770525136.9905832,0,111,377,,,,,,
1770525136.9957619,0,111,377,,,,,,
1770525137.0008852,0,111,377,,,,,,
1770525137.0112066,616.0068511962891,,,,,,,,
1770525137.627304,0,569,12,,,,,,
1770525137.6378574,526.9606113433838,,,,,,,,
1770525138.1649487,0,170,315,,,,,,
1770525138.1752863,752.091646194458,,,,,,,,
1770525138.9273775,0,174,34,,,,,,
1770525138.9376934,1811.286449432373,,,,,,,,
1770525140.7490566,0,280,522,,,,,,
1770525140.7541783,0,280,522,,,,,,
1770525140.7593553,0,280,522,,,,,,
1770525140.7646203,0,280,522,,,,,,
1770525140.7697644,0,280,522,,,,,,
1770525140.7748713,0,280,522,,,,,,
1770525140.7799914,0,280,522,,,,,,
1770525140.790535,836.1890316009521,,,,,,,,
1770525141.626598,0,386,185,,,,,,
1770525141.6369047,107.56134986877441,,,,,,,,
1770525141.7445753,0,267,487,,,,,,
1770525141.7499917,0,267,487,,,,,,
1770525141.7603638,185.39786338806152,,,,,,,,
1770525141.945831,0,228,305,,,,,,
1770525141.9561985,210.31522750854492,,,,,,,,
1770525142.1665554,0,522,378,,,,,,
1770525142.1768074,3419.382095336914,,,,,,,,
1770525145.59629,0,325,109,,,,,,
1770525145.601422,0,325,109,,,,,,
1770525145.6065588,0,325,109,,,,,,
1770525145.6117396,0,920,200,,,,,,
1770525145.616887,0,920,200,,,,,,
1770525145.6220198,0,920,200,,,,,,
1770525145.6273124,0,920,200,,,,,,
1770525145.6325734,0,920,200,,,,,,
1770525145.6376855,0,920,200,,,,,,
1770525145.6428263,0,920,200,,,,,,
1770525145.6531806,415.651798248291,,,,,,,,
1770525146.0689104,0,297,112,,,,,,
1770525146.0792801,71.6395378112793,,,,,,,,
1770525146.1509998,0,908,520,,,,,,
1770525146.156096,0,908,520,,,,,,
1770525146.161241,0,908,520,,,,,,
1770525146.1663675,0,908,520,,,,,,
1770525146.1714826,0,908,520,,,,,,
1770525146.1766126,0,908,520,,,,,,
1770525146.1869369,610.3010177612305,,,,,,,,
1770525146.79776,0,106,255,,,,,,
1770525146.8028865,0,106,255,,,,,,
1770525146.808016,0,106,255,,,,,,
1770525146.8130999,0,106,255,,,,,,
1770525146.8182144,0,106,255,,,,,,
